"Region","Class","Province","HR","Index_of_remoteness","Area_sq_km","Population","Dwellings","Households","Cpls_w_0_ch","Cpls_w_children","Cpls_w_1_ch","Cpls_w_2_ch","Cpls_w_3_or_more_ch","Sgls_w_ch","Sgls_w_1_ch","Sgls_w_2_ch","Sgls_w_3_or_more_ch","Not_in_families","Commute_wi_CSD","Commute_wi_CD_not_CSD","Commute_wi_prov_not_CD","Commute_extra_prov","Population_Density","MIZ_score"
"Keeler","None","Saskatchewan","Five Hills Regional Health Authority","0.2963",1.02079,15,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,0
"Brownlee","None","Saskatchewan","Five Hills Regional Health Authority","0.3022",2.50368,55,29,26,15,5,0,0,0,0,0,0,0,10,0,15,10,0,22.8,0
"South Lake","None","Saskatchewan","Five Hills Regional Health Authority","0.2931",7.25497,169,321,88,45,10,0,5,0,5,0,0,0,25,0,50,20,0,32.4,0
"Beechy","None","Saskatchewan","Heartland Regional Health Authority","0.5136",1.06272,228,147,116,30,25,10,10,0,5,10,0,0,60,35,0,10,0,214.5,0
"Coteau No. 255","None","Saskatchewan","Heartland Regional Health Authority","0.3472",996.3079,475,318,186,80,55,25,10,20,5,5,0,0,55,35,50,30,10,0.5,0
"Coteau Beach","None","Saskatchewan","Heartland Regional Health Authority","0.3655",0.53906,48,128,24,15,5,0,0,0,0,0,0,0,5,NA,NA,NA,NA,89,0
"Mistusinne","None","Saskatchewan","Five Hills Regional Health Authority","0.3137",1.4908,77,244,38,20,5,0,0,0,5,0,0,0,15,NA,NA,NA,NA,51.6,0
"Huron No. 223","None","Saskatchewan","Five Hills Regional Health Authority","0.3176",856.16306,198,51,48,20,15,5,10,0,0,0,0,0,15,0,10,0,0,0.2,0
"Tugaske","None","Saskatchewan","Five Hills Regional Health Authority","0.3135",0.762,75,66,47,15,5,5,0,0,0,5,0,0,30,0,10,0,0,98.4,0
"Craik No. 222","None","Saskatchewan","Five Hills Regional Health Authority","0.2938",892.23692,259,137,110,60,30,10,15,5,5,5,0,0,25,0,45,15,0,0.3,0
"Aylesbury","None","Saskatchewan","Five Hills Regional Health Authority","0.2832",1.27612,40,30,22,5,5,0,0,0,0,0,0,0,10,NA,NA,NA,NA,31.3,0
"Tompkins","None","Saskatchewan","Cypress Regional Health Authority","0.3904",2.65183,152,104,89,30,0,0,5,0,10,5,5,0,45,10,25,0,0,57.3,0
"Big Stick No. 141","None","Saskatchewan","Cypress Regional Health Authority","0.4018",854.97381,136,74,57,20,20,10,5,5,0,0,0,0,10,0,10,50,0,0.2,0
"Golden Prairie","None","Saskatchewan","Cypress Regional Health Authority","0.4255",0.41398,30,29,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5,0
"Enterprise No. 142","None","Saskatchewan","Cypress Regional Health Authority","0.3985",1017.83689,110,79,52,25,15,5,10,0,0,0,0,0,15,0,20,10,10,0.1,0
"Fox Valley No. 171","None","Saskatchewan","Cypress Regional Health Authority","0.4238",1281.20771,330,85,72,30,25,10,10,5,5,0,0,0,15,0,45,15,10,0.3,0
"Pennant","None","Saskatchewan","Cypress Regional Health Authority","0.4335",0.65066,130,68,62,20,10,5,0,5,0,0,0,0,30,10,65,0,0,199.8,0
"Success","None","Saskatchewan","Cypress Regional Health Authority","0.3939",1.3819,45,21,19,10,5,0,5,5,0,0,0,0,5,NA,NA,NA,NA,32.6,0
"Stewart Valley","None","Saskatchewan","Cypress Regional Health Authority","0.4231",0.86155,91,54,42,15,10,0,0,0,5,0,0,0,20,20,30,0,0,105.6,0
"Abbey","None","Saskatchewan","Cypress Regional Health Authority","0.5057",0.77136,129,88,65,20,15,0,5,5,5,5,0,0,35,25,20,0,0,167.2,0
"Lancer","None","Saskatchewan","Cypress Regional Health Authority","0.5143",1.33377,69,35,32,5,5,5,5,0,5,0,0,0,15,NA,NA,NA,NA,51.7,0
"Clinworth No. 230","None","Saskatchewan","Cypress Regional Health Authority","0.5291",1453.85036,154,77,70,40,15,10,10,0,5,0,0,0,15,0,20,0,0,0.1,0
"Sceptre","None","Saskatchewan","Cypress Regional Health Authority","0.5259",1.40307,94,54,46,15,10,5,5,0,5,5,0,0,25,10,0,0,0,76.3,0
"Happyland No. 231","None","Saskatchewan","Cypress Regional Health Authority","0.4414",1288.45157,249,113,101,50,30,10,20,5,5,5,0,0,15,0,40,0,10,0.2,0
"Prelate","None","Saskatchewan","Cypress Regional Health Authority","0.4484",0.87197,154,77,62,20,15,5,5,5,5,5,0,0,25,0,25,0,0,176.6,0
"Mendham","None","Saskatchewan","Cypress Regional Health Authority","0.4601",0.50396,30,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,0
"Deer Forks No. 232","None","Saskatchewan","Cypress Regional Health Authority","0.4393",748.39946,109,56,45,25,10,0,5,5,0,0,0,0,5,0,25,10,10,0.1,0
"Monet No. 257","None","Saskatchewan","Heartland Regional Health Authority","0.3434",1649.56547,445,155,136,60,30,10,10,15,0,0,0,0,45,0,20,0,0,0.3,0
"Rhein","None","Saskatchewan","Sunrise Regional Health Authority","0.43",1.09428,170,81,71,20,15,5,5,5,10,10,0,0,25,10,65,0,0,155.4,0
"Sheho","None","Saskatchewan","Sunrise Regional Health Authority","0.4382",1.95282,105,88,59,15,5,5,5,0,0,0,0,0,35,10,0,0,0,53.8,0
"Togo","None","Saskatchewan","Sunrise Regional Health Authority","0.4589",1.50216,86,63,45,15,5,0,0,0,0,0,0,0,25,0,0,10,0,57.3,0
"Pelly","None","Saskatchewan","Sunrise Regional Health Authority","0.4736",0.96051,285,181,141,35,25,10,5,5,15,5,5,0,85,20,30,0,0,296.7,0
"Rama","None","Saskatchewan","Sunrise Regional Health Authority","0.4512",0.66764,80,48,38,15,10,5,0,0,0,0,0,0,20,0,10,0,0,119.8,0
"Invermay","None","Saskatchewan","Sunrise Regional Health Authority","0.4564",1.22409,273,131,105,30,25,5,10,5,15,10,0,0,60,30,35,20,0,223,0
"Endeavour","None","Saskatchewan","Sunrise Regional Health Authority","0.4903",0.98871,65,45,34,20,0,5,0,0,0,0,0,0,15,0,15,0,0,65.7,0
"Stenen","None","Saskatchewan","Sunrise Regional Health Authority","0.4655",0.7048,90,43,42,10,10,5,5,5,5,0,0,0,25,20,0,0,0,127.7,0
"Hyas","None","Saskatchewan","Sunrise Regional Health Authority","0.4703",1.25105,70,49,39,15,5,0,0,5,5,5,5,0,20,0,35,0,0,59.6,0
"Livingston No. 331","None","Saskatchewan","Sunrise Regional Health Authority","0.4804",1345.48983,281,143,124,60,30,10,10,5,10,5,0,0,40,0,35,0,25,0.2,0
"Arran","None","Saskatchewan","Sunrise Regional Health Authority","0.4804",0.68716,25,25,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,0
"The Key 65","None","Saskatchewan","Sunrise Regional Health Authority","0.4786",62.22227,143,58,46,5,10,0,5,5,20,10,0,0,35,25,10,0,0,2.4,0
"Keeseekoose 66A","None","Saskatchewan","Sunrise Regional Health Authority","0.4741",0.04348,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.2,0
"Keeseekoose 66-CA-04","None","Saskatchewan","Sunrise Regional Health Authority","0.4232",2.97368,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Keeseekoose 66-CA-05","None","Saskatchewan","Sunrise Regional Health Authority","0.4742",4.31756,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Keeseekoose 66-CA-06","None","Saskatchewan","Sunrise Regional Health Authority","0.4406",3.43455,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Keeseekoose 66-KE-04","None","Saskatchewan","Sunrise Regional Health Authority","0.4548",1.45237,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Keeseekoose 66-KE-05","None","Saskatchewan","Sunrise Regional Health Authority","0.4688",2.52673,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
"Hubbard","None","Saskatchewan","Sunrise Regional Health Authority","0.3565",1.24821,35,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0
"Kelliher","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3535",2.80763,217,151,123,35,15,5,5,5,5,5,5,0,70,55,25,10,0,77.3,0
"Leross","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3417",1.28047,46,26,22,10,0,0,0,0,5,5,0,0,5,NA,NA,NA,NA,38,0
"Lestock","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.356",0.8937,95,98,41,10,10,5,0,0,5,0,0,0,25,10,0,0,0,109.3,0
"Semans","None","Saskatchewan","Saskatoon Regional Health Authority","0.3057",1.14395,196,137,103,40,15,10,0,0,5,5,0,0,50,25,20,25,0,171.3,0
"Quinton","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3139",0.96384,101,57,43,15,10,5,0,5,5,5,5,0,20,0,15,10,0,104.8,0
"Punnichy","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3486",0.6773,213,117,83,20,20,5,5,5,20,5,5,5,35,40,30,0,0,314.5,0
"Chorney Beach","None","Saskatchewan","Saskatoon Regional Health Authority","0.4762",0.16778,24,59,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,0
"Leslie Beach","None","Saskatchewan","Saskatoon Regional Health Authority","0.4763",0.55957,10,21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,0
"Elfros","None","Saskatchewan","Saskatoon Regional Health Authority","0.3152",2.51957,90,58,52,20,0,0,5,0,0,0,0,0,25,0,10,10,0,35.7,0
"Dafoe","None","Saskatchewan","Saskatoon Regional Health Authority","0.2986",0.80183,15,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,0
"Prairie Rose No. 309","None","Saskatchewan","Saskatoon Regional Health Authority","0.2959",882.21651,220,91,84,40,25,10,15,5,5,0,5,0,15,0,40,25,0,0.3,0
"Jansen","None","Saskatchewan","Saskatoon Regional Health Authority","0.3003",0.85298,96,68,56,25,5,0,0,0,0,0,0,0,25,0,15,15,0,112.5,0
"Leroy No. 339","None","Saskatchewan","Saskatoon Regional Health Authority","0.3039",849.17761,502,209,200,75,65,25,20,20,10,5,0,0,65,0,45,130,0,0.6,0
"Lakeview No. 337","None","Saskatchewan","Saskatoon Regional Health Authority","0.4533",854.3526,368,174,153,65,40,15,15,10,15,10,5,0,40,0,105,15,10,0.5,0
"Margo","None","Saskatchewan","Saskatoon Regional Health Authority","0.4567",0.80254,83,60,44,15,5,5,0,0,5,5,0,0,20,10,0,10,0,103.4,0
"Beardy's and Okemasis 96 and 97A","None","Saskatchewan","Saskatoon Regional Health Authority","0.3218",46.89801,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0
"Muskowekwan 85-17","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3423",2.51583,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-26","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3591",1.35532,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-33","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3626",0.652,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-28","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3562",3.67406,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-29","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.368",2.07714,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,0
"Muskowekwan 85-23","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.359",0.70914,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-12","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3564",2.8114,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-24","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3592",0.79364,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-22","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3562",0.77531,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-27","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3592",1.88253,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-10","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.362",5.86367,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0
"Muskowekwan 85-1","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.368",1.41935,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-8","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3655",0.57115,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,0
"Muskowekwan 85-15","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3655",4.25591,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0
"Muskowekwan 85-2A","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3655",0.59911,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Muskowekwan 85-31","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.374",2.823,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Fishing Lake 89A","None","Saskatchewan","Saskatoon Regional Health Authority","0.4758",2.72313,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Duval","None","Saskatchewan","Saskatoon Regional Health Authority","0.297",0.75371,83,46,44,10,10,5,5,0,0,0,0,0,30,10,0,20,0,110.1,0
"Last Mountain Valley No. 250","None","Saskatchewan","Saskatoon Regional Health Authority","0.2973",942.25534,275,308,127,65,25,10,10,5,5,5,0,0,35,0,15,40,0,0.3,0
"Govan","None","Saskatchewan","Saskatoon Regional Health Authority","0.3008",1.35256,194,144,96,35,15,5,10,5,5,5,5,0,50,35,20,15,10,143.4,0
"Etters Beach","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.3181",0.26743,30,114,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.2,0
"Liberty","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.295",1.3659,78,50,38,20,10,0,5,0,0,0,0,0,15,0,0,0,0,57.1,0
"Loreburn","None","Saskatchewan","Heartland Regional Health Authority","0.3097",0.61794,107,55,53,15,10,5,0,0,5,0,5,0,30,15,10,0,10,173.1,0
"Strongfield","None","Saskatchewan","Heartland Regional Health Authority","0.3057",0.79533,40,20,20,10,5,5,0,0,0,0,0,0,5,NA,NA,NA,NA,50.3,0
"Hawarden","None","Saskatchewan","Heartland Regional Health Authority","0.3",1.24045,52,36,33,10,0,0,0,0,0,0,0,0,25,0,20,0,0,41.9,0
"Broderick","None","Saskatchewan","Heartland Regional Health Authority","0.2965",0.90585,85,37,35,10,10,5,5,0,0,0,5,0,15,10,30,0,0,93.9,0
"Bladworth","None","Saskatchewan","Heartland Regional Health Authority","0.2823",0.84249,65,38,29,5,10,0,5,0,0,0,0,0,15,0,20,0,0,77.2,0
"Simpson","None","Saskatchewan","Regina Qu'Appelle Regional Health Authority","0.2959",1.44846,127,87,66,20,10,5,5,0,10,5,0,5,30,20,10,10,0,89.8,0
"Usborne No. 310","None","Saskatchewan","Saskatoon Regional Health Authority","0.2912",840.36904,529,216,201,90,65,20,20,30,10,10,0,5,55,15,130,15,0,0.7,0
"Drake","None","Saskatchewan","Saskatoon Regional Health Authority","0.2961",0.7159,197,102,94,25,25,10,15,5,5,5,0,0,40,15,35,0,10,275.2,0
"Zelma","None","Saskatchewan","Saskatoon Regional Health Authority","0.3228",0.74201,35,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9,0
"Thode","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2653",0.77871,148,101,59,20,20,5,10,5,5,0,0,0,20,0,80,0,0,201.9,5
"Dundurn No. 314","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2485",841.2719,2404,503,484,165,265,80,110,75,15,10,5,5,60,0,570,40,20,3,5
"Dundurn","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2484",1.3716,611,262,231,60,90,35,40,20,20,10,5,0,70,30,235,0,0,445.5,5
"Shields","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2653",0.73927,288,195,117,55,35,20,10,10,10,5,5,5,25,0,110,10,0,398.5,5
"Corman Park No. 344","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.213",2011.07767,8568,3037,2952,1230,1220,400,485,340,150,95,35,20,595,160,2885,175,30,4.5,5
"Saskatoon","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2141",238.00279,246376,107098,98565,26110,28180,10720,11590,5870,11030,6525,3015,1495,50375,97855,4655,3155,890,1080,5
"Langham","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2561",4.01466,1496,568,542,175,190,70,80,40,60,35,15,10,160,120,460,30,10,374.9,5
"Warman","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2428",13.29935,11020,3874,3748,1145,1755,560,800,395,295,155,100,45,925,920,3365,290,50,844.6,5
"Blucher No. 343","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2154",853.67232,2006,808,766,300,255,90,100,60,55,30,20,10,230,65,600,10,10,2.5,5
"Martensville","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2302",7.05396,9645,3337,3248,870,1605,525,755,325,295,160,95,45,815,665,3365,220,40,1421.2,5
"Bradwell","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2706",0.41523,166,65,62,15,20,5,5,5,10,0,5,0,30,0,60,0,0,399.7,5
"Allan","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2926",1.78384,644,274,253,95,80,30,30,15,35,20,10,5,70,20,195,0,20,361,5
"Dalmeny","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2527",2.27925,1826,609,592,185,270,85,100,85,60,25,25,10,115,100,630,35,10,805.7,5
"Osler","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.244",1.58054,1237,412,399,135,180,50,75,60,30,15,10,10,90,80,335,10,0,796.5,5
"Colonsay No. 342","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2687",588.70534,269,121,107,55,25,10,10,5,5,5,0,0,30,15,75,10,0,0.5,5
"Clavet","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2338",0.84322,410,144,137,40,65,25,25,15,10,5,5,5,30,10,145,10,0,486.2,5
"Meacham","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2692",1.314,99,55,43,15,10,5,5,5,5,0,0,0,15,10,20,15,0,77.8,5
"Colonsay","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2692",2.64151,451,207,184,55,55,15,30,10,10,5,5,0,75,30,105,0,0,182.9,5
"Plunkett","None","Saskatchewan","Saskatoon Regional Health Authority","0.2843",0.64393,60,36,33,15,0,0,0,0,0,0,0,0,20,0,10,15,0,93.1,0
"Wolverine No. 340","None","Saskatchewan","Saskatoon Regional Health Authority","0.3043",852.76934,480,187,177,80,65,20,20,25,5,0,0,0,40,0,35,100,0,0.6,0
"Whitecap","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2589",21.1987,451,166,145,20,50,20,15,15,45,20,20,15,70,95,45,0,0,23.4,5
"Zealandia","None","Saskatchewan","Heartland Regional Health Authority","0.312",1.38141,80,42,38,20,5,0,5,0,5,0,0,5,15,0,30,0,0,57.9,0
"Milden No. 286","None","Saskatchewan","Heartland Regional Health Authority","0.3434",755.59029,327,114,97,45,25,15,10,5,10,0,5,0,25,0,65,25,0,0.4,0
"Wiseton","None","Saskatchewan","Heartland Regional Health Authority","0.3552",0.76797,79,48,38,15,10,5,0,0,0,0,0,0,15,15,10,10,0,102.9,0
"Macrorie","None","Saskatchewan","Heartland Regional Health Authority","0.3445",0.76904,68,46,37,10,5,0,0,0,0,5,0,0,20,10,10,20,0,88.4,0
"Fertile Valley No. 285","None","Saskatchewan","Heartland Regional Health Authority","0.3229",1049.98624,539,182,170,75,50,10,15,20,10,0,5,0,50,0,35,70,10,0.5,0
"Conquest","None","Saskatchewan","Heartland Regional Health Authority","0.3361",0.99663,160,78,70,15,15,5,5,5,0,0,5,0,35,15,10,30,0,160.5,0
"Tessier","None","Saskatchewan","Heartland Regional Health Authority","0.2987",0.99984,25,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0
"Kinley","None","Saskatchewan","Heartland Regional Health Authority","0.2842",1.18352,60,29,27,10,5,0,5,5,0,5,0,0,20,0,15,0,0,50.7,0
"Vanscoy No. 345","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2779",906.56184,2840,1221,1094,505,370,145,145,80,65,40,20,5,255,85,135,915,0,3.3,5
"Delisle","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2763",3.34616,1038,438,412,130,135,45,70,25,40,20,15,10,135,95,95,235,0,310.2,5
"Vanscoy","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2585",1.49077,462,198,191,55,60,25,25,10,20,15,10,0,70,35,45,120,0,310.9,5
"Asquith","CMA","Saskatchewan","Saskatoon Regional Health Authority","0.2688",1.42766,639,261,254,80,75,20,30,25,25,20,10,0,110,40,30,195,0,449.6,5
"Mosquito 109","None","Saskatchewan","Prairie North Regional Health Authority","0.3295",93.35524,478,113,107,10,35,10,5,15,70,30,15,25,55,10,25,10,0,5.2,0
"Grizzly Bear's Head 110 and Lean Man 111","None","Saskatchewan","Prairie North Regional Health Authority","0.3222",34.70883,67,19,17,5,5,0,0,5,10,5,0,0,10,0,10,10,0,2,0
"Sweet Grass 113-M16","None","Saskatchewan","Prairie North Regional Health Authority","0.3317",3.44979,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Brock","None","Saskatchewan","Heartland Regional Health Authority","0.3496",0.73635,142,63,60,20,15,5,5,5,5,5,0,5,25,15,25,10,0,192.8,0
"Netherhill","None","Saskatchewan","Heartland Regional Health Authority","0.3476",0.73162,25,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,0
"Flaxcombe","None","Saskatchewan","Heartland Regional Health Authority","0.3709",1.48765,124,51,50,15,15,10,0,5,10,5,5,0,15,10,30,0,0,83.4,0
"Marengo","None","Saskatchewan","Heartland Regional Health Authority","0.4914",0.91217,166,74,67,15,20,5,10,5,10,0,5,5,30,0,20,0,0,190.5,0
"Prairiedale No. 321","None","Saskatchewan","Heartland Regional Health Authority","0.5165",567.39639,247,65,49,25,10,0,5,5,5,5,0,0,10,0,20,0,0,0.5,0
"Major","None","Saskatchewan","Heartland Regional Health Authority","0.4929",2.78171,35,26,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,0
"Smiley","None","Saskatchewan","Heartland Regional Health Authority","0.5145",0.64296,60,37,26,10,5,0,0,0,5,5,0,0,15,NA,NA,NA,NA,93.3,0
"Oakdale No. 320","None","Saskatchewan","Heartland Regional Health Authority","0.4669",855.20178,253,114,97,40,30,10,15,10,5,0,5,0,20,0,65,0,0,0.3,0
"Coleville","None","Saskatchewan","Heartland Regional Health Authority","0.4749",1.87381,305,163,137,45,40,20,15,5,10,10,5,0,50,60,45,10,0,162.8,0
"Winslow No. 319","None","Saskatchewan","Heartland Regional Health Authority","0.3717",850.61756,344,137,127,50,45,10,20,20,5,0,0,0,30,0,50,0,0,0.4,0
"Dodsland","None","Saskatchewan","Heartland Regional Health Authority","0.3725",2.92812,215,111,97,30,25,5,5,10,5,5,0,0,40,20,15,0,0,73.4,0
"Plenty","None","Saskatchewan","Heartland Regional Health Authority","0.3635",0.65271,164,79,65,20,15,10,5,5,5,5,0,0,30,60,30,0,0,251.3,0
"Grandview No. 349","None","Saskatchewan","Heartland Regional Health Authority","0.351",743.24556,348,116,104,55,25,10,5,10,0,0,0,0,35,10,15,15,0,0.5,0
"Mariposa No. 350","None","Saskatchewan","Heartland Regional Health Authority","0.5017",674.44662,205,98,86,35,25,10,0,10,5,0,0,0,30,0,70,0,0,0.3,0
"Tramping Lake","None","Saskatchewan","Heartland Regional Health Authority","0.3637",1.38905,60,44,29,5,5,5,0,0,0,0,0,0,20,10,0,0,0,43.2,0
"Primate","None","Saskatchewan","Heartland Regional Health Authority","0.4177",1.37288,52,24,21,5,5,0,0,0,0,5,0,0,10,NA,NA,NA,NA,55.2,0
"Denzil","None","Saskatchewan","Heartland Regional Health Authority","0.4314",0.61749,143,73,61,25,10,5,5,5,0,0,0,0,20,0,20,0,10,261.7,0
"Grass Lake No. 381","None","Saskatchewan","Heartland Regional Health Authority","0.4391",855.17989,399,207,159,75,55,15,15,15,5,5,0,0,40,10,65,0,0,0.5,0
"Scott","None","Saskatchewan","Heartland Regional Health Authority","0.3424",4.54416,73,51,37,5,10,5,5,0,0,0,0,0,20,0,0,0,0,16.6,0
"Landis","None","Saskatchewan","Heartland Regional Health Authority","0.3267",0.80237,152,82,71,25,15,5,10,0,5,0,0,0,40,15,0,15,0,189.4,0
"Round Valley No. 410","None","Saskatchewan","Heartland Regional Health Authority","0.3373",846.59904,423,176,164,75,55,10,30,15,5,0,0,0,30,0,120,0,10,0.5,0
"Senlac","None","Saskatchewan","Heartland Regional Health Authority","0.4379",0.59601,41,31,22,10,0,0,0,0,5,0,0,0,5,NA,NA,NA,NA,68.8,0
"Hudson Bay No. 394","None","Saskatchewan","Kelsey Trail Regional Health Authority","0.5159",12781.65765,1114,852,485,210,120,45,50,25,30,25,5,0,145,0,325,15,0,0.1,0
"Porcupine No. 395","None","Saskatchewan","Kelsey Trail Regional Health Authority","0.5153",2370.30694,803,471,359,165,75,30,30,15,15,15,5,0,125,10,155,10,0,0.3,0
"Weekes","None","Saskatchewan","Kelsey Trail Regional Health Authority","0.5353",0.59408,40,57,22,10,5,5,0,0,0,0,0,0,15,0,20,0,0,67.4,0
"Ponass Lake No. 367","None","Saskatchewan","Kelsey Trail Regional Health Authority","0.4623",845.04779,422,238,190,90,45,15,15,10,5,5,0,0,60,0,75,15,0,0.6,0
"Rose Valley","None","Saskatchewan","Kelsey Trail Regional Health Authority","0.4615",1.12388,282,166,125,40,30,10,15,5,10,10,0,5,55,65,30,15,0,250.9,0
